Login,Malayalam,Ward No.,Ward Name,Elected Members,Role,Party,Reservation
,,7.0,ODAMPALLY,VASANTHAKUMARI,Member,INC,Woman
,,8.0,PANCHAYAT OFFICE WARD,BHAVANI(INDU ANIKUTTAN),Member,CPI(M),SC Woman
,,9.0,GEETHANANDAPURAM,AJIMON,Member,INC,General
,,10.0,POLICE STATION WARD,ADV.S RAJESH,Member,INC,General
,,11.0,SREEKANDESWARAM,SEENA,Member,INC,Woman
,,12.0,COMMUNITY HALL WARD,MANAF K ABBASS,Member,CPI(M),General
,,13.0,PALLIVELY,LALAN PUSHPANGADHAN(POOCHAKKAL LALAN),Member,CPI,General
,,14.0,THALIYAPARAMBU,RAJANI M,President,INC,Woman
,,15.0,EDAPPANGAZHI,GEETHA HARIDAS,Member,INC,Woman
,,16.0,MUTTATHUKADAVU,K. B BABURAJ,Member,CPI(M),General
,,17.0,NALPPATHENNISWARAM,S. JAYAKUMAR,Member,CPI,General
,,18.0,ANNALATHODU,VELAPPAN K A,Member,INC,SC
,,1.0,KOLLAMKUNNU,ANJU JOSE,Vice President,CPI(M),Woman
,,2.0,ANAKKAL,BINCY GEORGE,Member,INC,Woman
,,3.0,AYYAPPANPOTTA,SREEKUMAR P S,Member,INC,General
,,4.0,MANAKKALKAD,A SHIJU,Member,INC,General
,,5.0,KUNUPPULLY,K V MUTHU,Member,CPI(M),General
,,6.0,VARANI,E.V KOMALAM,Member,INC,Woman
,,7.0,KADUKKAMKUNNU EAST,PONNUCHAMI,Member,CPI,SC
,,8.0,KADUKKAMKUNNU WEST,SOBHANA BHASKARAN,Member,BJP,Woman
,,9.0,MANTHAKKAD SOUTH,SUMALATHA MOHANDAS,Member,CPI,General
,,10.0,MANTHAKKAD NORTH,JAYAKUMAR V.R,Member,CPI(M),ST
,,11.0,SASTHA COLONY,KAVITHA.M,Member,CPI(M),SC Woman
,,12.0,MALAMPUZHA CENTRAL,KANAKA,Member,CPI(M),Woman
,,13.0,CHERAD,LISA GEORGE,Member,INC,Woman
,,1.0,POKKANCHERY,SUGANDHINI .,Member,INC,Woman
,,2.0,TIPPUSULTHAN WEST,A.T. SHEBEER ALI,Member,INC,General
,,3.0,THRITHALLUR WEST,GILSA THILAKAN,President,INC,Woman
,,4.0,EZHAM KALLU,K.S DHANEESH,Member,BJP,General
,,5.0,HEALTH CENTRE,JUBAIRIYA MANAF,Member,CPI(M),Woman
,,6.0,GANESAMANGALAM,SUBAIDA MUHAMMED,Member,INC,Woman
,,7.0,MANAPPAD,VIMALA TEACHER,Member,CPI(M),General
,,8.0,THRITHALLUR EAST,P.S. SURATH KUMAR,Member,INC,General
,,9.0,NADUVILKKARA WEST,LEENA RAMANATHAN,Member,CPI(M),Woman
,,10.0,VATANAPILLY EAST,C.B. SUNILKUMAR,Member,CPI,General
,,11.0,NADUVILKKARA EAST,R.M THARIK,Member,INC,General
,,12.0,POLICE STATION,ANILKUMAR K.K,Member,CPI(M),SC
,,13.0,PATTLANGADI,BINDHU CHANDRAN,Member,IUML,SC Woman
,,14.0,ANCHANGADI,REJINI KRISHNANANDHAN,Member,IUML,SC Woman
,,15.0,VATANAPILLY WEST,SANTHI BHASI,Member,CPI(M),Woman
,,16.0,DUBAI,N.S MANOJ,Member,INC,General
,,17.0,FISHERIES,SUBAIDA NOWSHAD,Member,IUML,Woman
,,18.0,MULLANGARA,K.M ABDULLA,Vice President,IUML,General
,,1.0,KUMARANELLUR,VADAKKEKUNNATH LEELA,Member,NCP,Woman
,,2.0,KARAMOOLA WEST,BALIYAMBRA BEERANKUTTY,Member,CPI(M),General
,,3.0,KARAMOOLA EAST,MOOTHADATH SHANTHA DEVI,Member,INC,Woman
,,4.0,VALLATHAIPPARA,KANICHIMMAL MANOJ,Member,CPI(M),SC
,,5.0,CHUNDATHUMPOYIL,REJI ONATTE,Member,INDEPENDENT,Woman
,,6.0,THOTTAKKADU,CHAKKUNNUMPURATH SANTHOSH JOHN,Member,KC(M),General
,,7.0,THEKKUMKUTTY,KAROTTIL SIVADASAN,Member,CPI(M),General
,,8.0,ALLI,KAPPALAMMAL PRADEEP,Member,CPI(M),General
,,9.0,KALARIKKANDI,ODAMMAL NOUSHAD,Member,CPI(M),General
,,10.0,MYSOORMALA,V K VINOD,Member,CPI(M),General
,,11.0,ANAYAMKUNNU,CHALOOLY SHYNAS .,President,IUML,Woman
,,12.0,KARUTHAPARAMBU,THEYATHUMKAVIL MINI .,Member,INC,SC Woman
,,13.0,NELLIKKAPARAMBU,KUTTYPURATH JAYAPRABHAVATHY,Member,INC,Woman
,,14.0,KAKKADU,EDATHIL AMINA USMAN,Member,INDEPENDENT,Woman
,,15.0,SOUTH KARASSERY,KIZHAKKAYIL SUHRA,Member,IUML,Woman
,,16.0,CHONADU,MANJARATHOTTATHIL SAYED FAZAL,Member,IUML,General
,,17.0,NORTH KARASSERY,VATTOLLYKANDY REENA,Member,INC,Woman
,,18.0,ANAYAMKUNNU WEST,MUKKONTHODIKA ASHRAF,Vice President,INC,General
,,1.0,GURUVIHAR,ANUSUYA S,Member,CPI(M),Woman
,,2.0,PAZHANJIRA,ANOOP B.S,Member,INC,General
,,3.0,MELKADAKKAVOOR,MINIDAS B,Member,CPI(M),Woman
,,4.0,ALTHARAMOODU,RAVEENDRAN C,Member,CPI(M),SC
,,5.0,SARKKARA,SURESH KUMAR G,Member,INC,General
,,6.0,CHIRAYINKEEZHU,RADHAMONEY R.K,Member,INC,General
,,7.0,VALIYAKADA,RAJANIKRISHNA,Member,INC,Woman
,,8.0,KOTTAPPURAM,DEENA S,Member,CPI(M),SC Woman
,,9.0,KADAKOM,SUBHASH R,President,CPI(M),General
,,10.0,OTTAPPANA,MUSTHAFA,Member,CPI(M),General
,,11.0,PERUMATHURA,ABDUL VAHID,Member,CPI(M),General
,,12.0,POZHIKKARA,RASHEEDHA,Vice President,CPI(M),Woman
,,13.0,PULUNTHURUTHI,YAMUNA B,Member,INC,Woman
,,14.0,MUTHALAPPOZHI,PRAMEELA S,Member,INC,SC Woman
,,15.0,ARAYATHURUTHI,REEJA,Member,CPI(M),Woman
,,16.0,PUTHUKKARI,VYASAN G,Member,CPI(M),General
,,17.0,PANDAKASALA,SINDHU S,Member,CPI(M),Woman
,,18.0,ANATHALAVATTOM,PRASANNA D,Member,CPI(M),Woman
,,19.0,KALAPOSHNI,KANAKADAS M.V,Member,CPI(M),General
,,1.0,KALLOOR,SINOJ JOSE,Member,INDEPENDENT,General
,,2.0,PAYYAVU,BINDU SABU,Member,INDEPENDENT,Woman
,,3.0,EZALLOOR,BENNY CHERIAN,Member,INDEPENDENT,General
,,4.0,PATHAZAPARA,MANI CHEERAN,Member,KC(M),SC
,,5.0,KALLUMARI,JESSY VARGHESE,Member,INC,Woman
,,6.0,KARUKA,MUHAMMED VETTICKAL,Vice President,IUML,General
,,7.0,PERUMPILLICHIRA,LAILA MUHAMMED,Member,INDEPENDENT,Woman
,,8.0,MADHURAPARA,USHA RAJASEKHARAN,Member,INDEPENDENT,Woman
,,9.0,MAILACOMBU,LISSA JINS,Member,INC,Woman
,,10.0,PAINKULAM,SINDUKUMAR GOPALAKRISHNAN NAIR,Member,INDEPENDENT,General
,,11.0,KUMARAMANGALAM,SHYLAJA BALAKRISHNAN NAIR,Member,INC,Woman
,,12.0,AREEKARA,C K SREEDHARAN,Member,INDEPENDENT,General
,,13.0,KARIMKULAM,CELINE JEROME,President,INC,Woman
,,1.0,KARUMANCHALA,SHAHARBHANU,President,IUML,Woman
,,2.0,THEKKATHIVATTARAM,A V ABDUL JALEEL,Member,IUML,General
,,3.0,PUDUNAGARAM TOWN,M MUHAMMED RAFI,Member,IUML,General
,,4.0,KOSAKKADA,S YAKKOOB,Member,INDEPENDENT,General
,,5.0,CHANTHAPPETTAVATTARAM,BHANU A K MUHAMMED HUSSAIN,Member,IUML,Woman
,,6.0,PALLI BAZAR,RABIYA,Member,IUML,Woman
,,7.0,KATTUTHERUVU,MUHAMMED THAMEEM K M,Member,IUML,General
,,8.0,KULATHUMEDU,SANTHAKUMARAN U,Vice President,INC,General
,,9.0,ADICHIRA,SUMANGALA TEACHER,Member,BJP,Woman
,,10.0,VARIYATHUKALAM,SUMALA V,Member,CPI(M),SC Woman
,,11.0,KARIPPODE THARA,GEETHA JAYAKRISHNAN,Member,BJP,Woman
,,12.0,VEETTIYODU,T VIJAYAN,Member,INC,SC
,,13.0,MANGODE,USHA RAGHU MASTER,Member,BJP,Woman
,,1.0,CHUNAKKARA NORTH,MANOJ COMPANYVILA,Member,CPI(M),General
,,2.0,AMBALA WARD,B.BINU,President,CPI(M),General
,,3.0,CHUNAKKARA EAST,S.SUMADEVI,Member,CPI(M),Woman
,,4.0,CHUNAKKARA NADUVIL EAST,P.MADHU,Member,CPI(M),General
,,5.0,KOTTA WARD,R.PARAMESWARAN PILLAI,Member,CPI(M),General
,,6.0,HOSPITAL WARD,RAJEENA LATHEEF,Member,IUML,Woman
,,7.0,CHARUMMOOD,MAJIDA SADIQUE,Member,INC,Woman
,,8.0,PALOOTHARA,V.R.SOMAN,Member,INC,General
,,9.0,KARIMULACKAL SOUTH,C.V. RAJEEVE,Member,CPI(M),SC
,,10.0,KARIMULACKAL NORTH,S.MADHUKUMAR,Member,INDEPENDENT,General
,,11.0,KOMALLOOR WEST,BIJI MATHEW,Vice President,INDEPENDENT,Woman
,,12.0,KOMALLOOR EAST,V.SUDHADEVI,Member,CPI(M),Woman
,,13.0,THERUVIL MUKKU,SAFEEDA SHAMSUDEEN,Member,INC,Woman
,,14.0,CHUNAKKARA NADUVIL WEST,M.M.BINDHU,Member,JSS,SC Woman
,,15.0,KOTTAMUKKU,GIRIJA SASIKUMAR,Member,INC,Woman
,,1.0,DHONI,K KOYAKUTTY,Member,INC,General
,,2.0,ENGENEERING COLLEGE,GEETHA C,Member,CPI(M),Woman
,,3.0,VADAKKETHARA,V UNNIKRISHNAN,Member,INC,General
,,4.0,THEKKETHRA,VALSALA V,President,CPI(M),Woman
,,5.0,ITHINGAPARAMBU,K.K SURESH KUMAR,Vice President,CPI(M),General
,,6.0,NADAKKAVU,P. LAKSHMI,Member,CPI,Woman
,,7.0,KORATHODI,SATHEESH K,Member,INC,General
,,8.0,ANDIMANDAM,PRAKASAN C,Member,INC,General
,,9.0,KUNNAMPARA,SANTHOSH B,Member,CPI(M),SC
,,10.0,KALLEKULANGARA,UDAYAKUMARI P,Member,INC,Woman
,,11.0,HEMAMBIKA SAMSKRITA SCHOOL,K.S UDHAYAKUMARA MENON,Member,CPI(M),General
,,12.0,KUNNUKAD,PARVATHI P,Member,INC,Woman
,,13.0,KONGAPADAM,C SAKUNTHALA,Member,CPI(M),Woman
,,14.0,PUNNAKULAM,K JAYAKRISHNAN,Member,CPI(M),General
,,15.0,RAILWAY COLONY,SMITHAM ALBIN,Member,INC,Woman
,,16.0,KAKKANI,SUMATHI MOHAN,Member,INC,Woman
,,17.0,UMMINI,KAMALAKSHI V.V,Member,CPI(M),SC Woman
,,1.0,Marroor,SUSEELA AJI,Member,INC,Woman
,,2.0,Palamaroor,P S RAJEEV,Member,INC,General
,,3.0,Pulimukku,BINU P THANKAN,Member,CPI(M),SC
,,4.0,Vettoor,SHIJU. M.JOSHUA,Member,INDEPENDENT,General
,,5.0,Elakolloor,MANOJ M K,Member,INC,General
,,6.0,Thengumkavu,ANANADAVALLI AMMA,Member,INDEPENDENT,Woman
,,7.0,Vattakavu,RENJISHA S,Member,INC,Woman
,,8.0,Vellappara,GIGI SAJI,Member,INC,Woman
,,9.0,Poovanpara,LIZY JAMES,Member,INC,General
,,10.0,Elappupara,CHANDRIKA DHARMADAS,Member,INC,Woman
,,11.0,Kaithakkara,SYAMALAKUMARI,Member,CPI(M),Woman
,,12.0,Vakayar,T M SALIM,Vice President,INC,General
,,13.0,Ezhumon,K S PRADEEP,Member,CPI,General
,,14.0,Anthichantha,RENJINI K C,Member,INC,SC Woman
,,15.0,V Kottayam,SARASAMMA THANKAPPAN,President,INDEPENDENT,Woman
,,16.0,Nedumpara,KARUNAKARAN NAIR .K,Member,INC,General
,,17.0,Lakkoor,JALAJA PRAKASH,Member,CPI(M),Woman
,,18.0,Poomkavu,AJI DANIEL,Member,INC,General
,,19.0,Pramadam,SHOBHANA KUMARI (VALSALAKUMARI),Member,CPI(M),Woman
,,1.0,THUNDIPPURAM VADAKKU,SUBHASHINI JOSHY,Member,INC,Woman
,,2.0,AYYAMPILLY PADINJARU,P.N. RAJEESH,Member,INDEPENDENT,General
,,3.0,GOVERNMENT AASUPATHRI,BINDHU VIJAYAN,Member,INC,Woman
,,4.0,MANAPPILLY,K.I. KORATH,Member,CPI,General
,,5.0,THARAVATTOM,P.J. ANIRUDHAN,Member,INC,General
,,6.0,AYYAMPILLY KIZHAKKU,MINI RAJEEV,Member,INC,SC Woman
,,7.0,CHERUVYPE,T.G.VIJAYAN,President,INC,General
,,8.0,CHERUVYPE THEKKU,JESSY ALBY,Member,INC,Woman
,,9.0,DHEERAJAVAN,SHEELA BABU,Member,CPI(M),Woman
,,10.0,KUZHUPPILLY,BEENA GEORGE,Vice President,INC,Woman
,,11.0,PALLATHAMKULANGARA,A.S. KUTTAN,Member,INC,General
,,12.0,BLOCK OFFICE,NIJIMON P.N.,Member,INC,SC
,,13.0,THUNDIPPURAM THEKKU,THANKAMANI SASI,Member,CPI(M),Woman
,,1.0,KALLAMBALAM,P.R.RAJEEV,Member,CPI,General
,,2.0,PUTHUSSERIMUKKU,K.SUBHASH,President,CPI(M),General
,,4.0,KONNOORI,ABDUL AZEEZ. A,Member,CPI(M),General
,,5.0,THOTTAKKADU,S.SURESHKUMAR,Member,CPI(M),General
,,6.0,MUDIYOTTUKONAM,RENUKA SAJEEV,Member,INC,Woman
,,7.0,KANNATTUKONAM,AMBIKA .A,Member,BJP,SC Woman
,,8.0,PATTAKONAM,M.CHANDRIKA,Member,CPI(M),SC Woman
,,9.0,NJARAKKATTUVILA,GEETHA M,Vice President,CPI(M),General
,,10.0,VANCHIYOOR,PRATHEEP.S,Member,INC,SC
,,11.0,ERAMAM,J.SURENDRAKURUP,Member,INC,General
,,12.0,PATTLA,SHEEJA,Member,CPI(M),Woman
,,13.0,PALLIMUKKU,A. NAZARUDEEN,Member,CPI(M),General
,,14.0,MEVARKKAL,M.SHEELA,Member,INC,Woman
,,15.0,ALAMCODE,MEVARKAL NAZAR,Member,INC,General
,,16.0,CHATHAMPARA,V.SHILAJA,Member,INC,Woman
,,17.0,PARAKKULAM,PANKAJAKSHIAMMA,Member,INC,Woman
,,18.0,KARAVARAM,LILLY G,Member,CPI,Woman
,,1.0,KURUDAPADAVU,DEVU MOOLYA,Member,BJP,General
,,2.0,SIRANTHADUKKA,RAZIYA.M.P,Member,CPI(M),Woman
,,3.0,CHIPPAR,ABDUL RAZHAK CHIPPAR,Member,CPI(M),General
,,4.0,AVALA,DINESHWARI,Vice President,INDEPENDENT,Woman
,,5.0,MULIGADDE,MANIKANTA,President,BJP,General
,,6.0,PERVADI,VEENA,Member,BJP,Woman
,,7.0,BERIPADAVU,ABOOBACKER PERVODI,Member,INDEPENDENT,General
,,8.0,SUDAMBALA,BHAVYA B,Member,BJP,Woman
,,9.0,CHERAL,PUSHPALAKSHMI,Member,BJP,Woman
,,10.0,SAJANKILA,JAYALAKSHMI BHAT K,Member,BJP,Woman
,,11.0,MANNIPPADY,KUNHALIMMA P,Member,INDEPENDENT,Woman
,,12.0,PERMUDE,THERESA D SOUZA,Member,INC,Woman
,,13.0,KUDAL,PUSHPA KAMALAKSHA,Member,CPI(M),Woman
,,14.0,CHEVAR,ZUBAIDA M B,Member,INDEPENDENT,Woman
,,15.0,PARAMBALA,ANANTHARAMA ALIAS PRASAD RAI,Member,BJP,General
,,16.0,KAYYAR,ZULFIKAR ALI,Member,IUML,General
,,17.0,PAIVALIKE,NARAYANA Y,Member,INC,SC
,,18.0,KALAI,ABUSALI,Member,IUML,General
,,19.0,KADANKODI,NARAYANA SHETTY,Member,CPI(M),General
,,1.0,KADAVALLUR EAST,RAJENDRAN P.I.,President,CPI(M),General
,,2.0,VADAKKUMURI,MALLIKA SANKARANKUTTY,Member,INC,Woman
,,3.0,KALLUMPURAM,VISWAMBARAN C.K.,Member,CPI(M),SC
,,4.0,VATTAMAVU,GOPALAKRISHNAN K. (KOCHANIYAN),Member,CPI(M),General
,,5.0,KODATHUMKUNDU,MYDHILI A.P.,Member,CPI(M),Woman
,,6.0,PATHAKARA,SIVADASAN V.R.,Member,CPI(M),General
,,7.0,KORATTIKKARA,SINDHU PRABHATH,Member,INC,Woman
,,8.0,OTTAPILAVU,SHAJI V.S.,Member,CPI(M),General
,,9.0,MANIYARKODE,SHAJITHA SALIM,Vice President,CPI(M),Woman
,,10.0,THIPPILISSERI,VISWAMBHARAN KURUTHOLAYIL,Member,INC,General
,,11.0,PALLIKULAM,RAJEESH E.R.,Member,CPI(M),General
,,12.0,ALTHARA,JAYAPRAKASH K. (KUTTAN),Member,CPI(M),General
,,13.0,PUTHENKULAM,BINDU P,Member,CPI(M),Woman
,,14.0,PERUMBILAVU,KUNJUMOL C.,Member,CPI(M),SC Woman
,,15.0,PORAVOOR,BABY K,Member,CPI(M),Woman
,,16.0,PARUVAKUNNU,KAMARUDDEEN P.M. PARUVAKKUNNU,Member,CPI(M),General
,,17.0,KARIKKAD,NAFEESA TEACHER,Member,INC,Woman
,,18.0,VILLANNUR,THAHIRA RASSAK,Member,CPI(M),Woman
,,19.0,KOTTOL,VIDYA P.C.,Member,CPI(M),SC Woman
,,20.0,KADAVALLUR CENTRE,RAVEENDRAN S.N.,Member,CPI(M),General
,,1.0,ELIKUNNAMMUKAL,ANITHAKUMARI AMMA,Member,CPI(M),Woman
,,2.0,VALIYAVAZHY,NUJUMUDHEEN,Member,CPI(M),General
,,3.0,NEDUMPACHA,M.K.ABDHUL LATHEEF,Member,CPI(M),General
,,4.0,MULAYAKKONAM,ADV.NIYAS MATTAPPALLY,Vice President,INC,General
,,5.0,MURUKKUMON,SUNITHA.O,Member,CPI,SC Woman
,,6.0,PUTHUSSERI,JAYASREE.S,Member,INC,Woman
,,7.0,COLLEGE,SHIBU,Member,INC,SC
,,8.0,VELLAMPARA,SENHIL.S,Member,INC,General
,,9.0,CHERATTUKUZHY,HABUSA SALAM,Member,INC,Woman
,,10.0,TOWN,SHEMEENA PARAMBIL,President,INC,Woman
,,11.0,BENGLAMKUNNU,N.S.SALEENA,Member,CPI(M),Woman
,,12.0,VEYCKAL,M.ABIDA BEEVI,Member,CPI(M),Woman
,,13.0,KAITHODE,KONATHU ABDUL SALAM,Member,INC,General
,,1.0,KOTTAKKUNNU,GEETHA,President,CPI(M),Woman
,,2.0,KANJIRAMPARA,HUSSAIN SHAFEEK,Member,INC,General
,,3.0,POTTUPARA,MURALI O M,Member,CPI(M),General
,,4.0,KIZHAKKUMPURAM,SUNDARI,Member,CPI(M),Woman
,,5.0,KOZHICHUNDA,SANKARANARAYANAN,Vice President,CPI(M),General
,,6.0,PARAYAMKADU,VIJAYALAKSHMI,Member,INC,Woman
,,7.0,PEZHUMKADU,VINITHA,Member,CPI(M),SC Woman
,,8.0,ONNAM MILE,RAMANI N C,Member,CPI(M),Woman
,,9.0,PATHIRIPPALA,UNNIKRISHNAN,Member,INC,SC
,,10.0,MANNUR,SELEENA,Member,CPI(M),Woman
,,11.0,ARIMBANKULANGARA,HARIDASAN,Member,CPI(M),General
,,12.0,NELLIKKADU,SATHYAKUMAR,Member,INC,General
,,13.0,PERADIKKUNNU,RAJANI,Member,CPI(M),Woman
,,14.0,CHERUMPALA,JAYAKRISHNAN,Member,CPI(M),General
,,1.0,AZHITHALA-ORI,RIJU K.P,Member,CPI(M),Woman
,,2.0,ORI,LEENA A.V,Member,CPI(M),Woman
,,3.0,KAVUNTHALA,SAHIRA M.K,Member,IUML,Woman
,,4.0,PADNE CENTER,KUNHABDULLA T.M.C,Member,IUML,General
,,5.0,PADNE KANTHILOT,FOUSIYA P.C,Member,IUML,Woman
,,6.0,PADNE THEKKEPURAM,SHAHIDA T.K.P,Member,IUML,Woman
,,7.0,EDACHAKAI-KINATHIL,BALAGOPALAN N.V,Member,CPI(M),General
,,8.0,KINATHIL-THADIYANKOVVAL,SUMATHI MADAKKAL,Member,CPI(M),Woman
,,9.0,THADIYANKOVVAL,RAGHAVAN K,Member,CPI(M),General
,,10.0,UDINOOR CENTRAL,KRISHNAN MASTER K.P,Member,CPI(M),General
,,11.0,UDINOOR SOUTH,KUNHIKRISHNAN MASTER C,President,CPI(M),General
,,12.0,MACHIKKAD MUTHIRAKOVVAL,KUNHAMBU K,Member,INC,SC
,,13.0,THEKKEKKAD,SUBAIDA P.C,Vice President,CPI(M),Woman
,,14.0,PADNE BAZAR,MUHAMMED ASLAM P.V,Member,IUML,General
,,1.0,KANNOM,SULOCHANA P,Member,CPI(M),Woman
,,2.0,KOTTILA,SREEDEVI TEACHER P,Vice President,CPI(M),Woman
,,3.0,OONAPPARAMBA,NIRMALADEVI K.P,Member,CPI(M),Woman
,,4.0,NARIKKODU,MURALI V.V,Member,CPI(M),General
,,5.0,PAARAMMAL,KUNHIRAMAN MASTER P V,Member,CPI(M),General
,,6.0,KOOTTAKKEL,CHANDRAN M,Member,CPI(M),General
,,7.0,EZHOME,SHANMUGHAN K K,Member,CPI(M),SC
,,8.0,EZHOME MOOLA,PRASEEJA V,Member,CPI,Woman
,,9.0,CHENGAL,MANOJ K.P,Member,CPI(M),General
,,10.0,PAZHAYANGADY,KUNHIRAMAN C V,President,CPI(M),General
,,11.0,ERIPURAM,ABDULRASHEED S V,Member,CPI(M),General
,,12.0,ADUTHILA,LALITHA K,Member,CPI(M),Woman
,,13.0,NERUVAMBRAM,BHARGAVI K V,Member,CPI(M),Woman
,,14.0,KAANAYI,GIRIJA P K,Member,CPI(M),Woman
,,1.0,KOTTATHARA,BALAKRISHNAN M,Member,INDEPENDENT,ST
,,2.0,MATTATHUKKAD,RAVIKUMAR,Member,CPI(M),ST
,,3.0,VATTALUKKY,SURYA RAVIKUMAR,Member,CPI(M),ST Woman
,,4.0,ANAKKATTY,BHAGHYALAKSHMI VELLINGIRI,Vice President,INC,Woman
,,5.0,KADAMBARA,MARUTHATHAL KANDASWAMY,Member,INC,Woman
,,6.0,VECHAPPATHY,RAJAN V,Member,CPI(M),General
,,7.0,VARAGAMPADY,GEETHA SELVARAJ,Member,INC,ST Woman
,,8.0,PETTIKKAL,SALY THOMAS,Member,INC,Woman
,,9.0,KOZHIKKOODAM,KANNAPPAN MUTHAN,Member,NCP,General
,,10.0,KURAVANPADY,SHINY DIVAKARAN,Member,CPI(M),ST Woman
,,11.0,CHUNDAKULAM,SREEJITHKUMAR P,Member,INC,General
,,12.0,SHOLAYUR,MARUTHY SELVAN,Member,INC,ST Woman
,,13.0,KALLAKKARA,MURUGAN V,President,INC,ST
,,14.0,VANNANTHARA,PRADEEP Y,Member,INC,SC
,,1.0,KODASSERY,K K CHANDRAN,Member,CPI(M),General
,,2.0,NAYARANGADI,C K SASI,President,CPI(M),General
,,3.0,METTIPPADAM,C S PUSHPAKARAN,Member,CPI(M),General
,,4.0,CHATTIKULAM,C.O.BABU,Member,CPI(M),General
,,5.0,MAARAMKODE,USHA SADANANDAN,Member,INC,SC
,,6.0,KORMALA,SANDHYA GIREESH,Member,CPI(M),SC Woman
,,7.0,RANDUKAI,C V ANTONY,Member,INC,General
,,8.0,CHAIPANKUZHI,A A PIUS,Member,INC,General
,,9.0,PEELARMUZHY,SALBI JAMES,Member,INC,Woman
,,10.0,CHEMBANKUNNU,JOHNY K P,Member,INC,General
,,11.0,PULINKARA,OMANA JOSE,Member,INC,Woman
,,12.0,KUTTICHIRA,SHAILAJA GIRIJAN,Member,CPI,Woman
,,13.0,KUNDUKUZHIPADAM,REMYA DILEEP,Member,CPI(M),Woman
,,14.0,KOORKKAMATTOM,P A KUNJU,Member,CPI(M),General
,,15.0,KAMMALAM,P K ANTO,Member,INC,General
,,16.0,KOTHESWARAM,REMA BAHULEYAN,Vice President,CPI,Woman
,,17.0,ELINJIPRA EAST,PRIYA UNNIKRISHNAN,Member,CPI(M),SC Woman
,,18.0,ELINJIPRA WEST,SUNANDHA NARAYANAN,Member,INC,Woman
,,19.0,CHOWKKA,K K SARASWATHY,Member,INC,Woman
,,20.0,KALIKKAL,SUJATHA CHANDRAN,Member,CPI(M),Woman
,,1.0,WEST KADUNGALLOOR NORTH,V.K.SHANAVAS,Member,INC,General
,,2.0,EAST KADUNGALLOOR(WEST),BABY SAROJAM,Member,INDEPENDENT,Woman
,,3.0,KADAYAPPILLY,MOLLY JIMMY,Member,INC,Woman
,,4.0,KANIYANKUNNU,SHAHINA VEERAN,Member,INDEPENDENT,Woman
,,5.0,EAST KADUNGALLOOR(EAST),SUSHAMA,Vice President,INC,Woman
,,6.0,ELOOKKARA NORTH,ABDUL SALAM,Member,INC,General
,,7.0,KUNJUNNIKKARA,ZEENATH JALEEL,Member,SDPI,Woman
,,8.0,ULIYANNOOR,K.K.JINNAS,President,INC,General
,,9.0,ELOOKKARA,K.K.SUPRAN,Member,INC,SC
,,10.0,WEST KADUNGALLOOR(CENTRAL),HARIHARAN NAIR.P.K.,Member,INDEPENDENT,General
,,11.0,MUPPATHADAM NORTH,USHA DASAN,Member,CPI(M),Woman
,,12.0,MUPPATHADAM CENTRAL,SHYNI SAJAN,Member,INC,Woman
,,13.0,KAYANTIKKARA,T.M.KABEER,Member,INDEPENDENT,General
,,14.0,MUPPATHADAM EAST,SUDHADEVI.A.C.,Member,INC,Woman
,,15.0,KAYANTIKKARA SOUTH,GEETHA SUNIL,Member,INC,Woman
,,16.0,MUPPATHADAM SOUTH,V.M.SASI,Member,CPI(M),General
,,17.0,MUPPATHADAM WEST,K.G.JOSHY,Member,INC,General
,,18.0,EDAYAR,BINDHU RAJEEV,Member,INC,SC Woman
,,19.0,ERAMAM SOUTH,P.A. ANSAR,Member,IUML,General
,,20.0,ERAMAM NORTH,SAJITHA BABU,Member,INC,Woman
,,21.0,WEST KADUNGALLOOR SOUTH,B.RADHAKRISHNAN,Member,INC,General
,,1.0,THAZHATHUVADAKKU,VARGHESE M.T,Member,KC(M),General
,,2.0,GOVINDAMADAM,RUBY SADANANDAN,Member,INC,Woman
,,3.0,CHELIKKUZHI,RENJU R,Member,CPI(M),SC Woman
,,4.0,MARKET,SANTHAKUMARY S,Member,CPI,Woman
,,5.0,MANAYARA,REMADEVI V.P,Member,CPI(M),Woman
,,6.0,MALOOR,SUDHAKARAN N,President,CPI(M),General
,,7.0,KARIMPALOOR,VANAJAKUMARI D,Member,CPI(M),Woman
,,8.0,VATTAKKALA,GEORGE THOMAS,Member,INC,General
,,9.0,MEENAM VADAKKEKKARA,SALMABEEVI S,Vice President,CPI,Woman
,,10.0,KADUVATHODU,VISWANATHAN(SOMAN) N,Member,INDEPENDENT,SC
,,11.0,ERATHUVADAKKU,VIJAYARAJANPILLAI R,Member,INC,General
,,12.0,THENGAMANMADAM,SAVITHRI P,Member,INC,Woman
,,13.0,METHUKUMMEL,MOHANANPILLAI P,Member,CPI(M),General
,,1.0,MUNAYAM,SREEREKHA SHAJI,President,CPI,Woman
,,2.0,KARANCHIRA NORTH,JOSE E L,Member,INC,General
,,3.0,KARANCHIRA SOUTH,ABOOBAKAR K H,Member,INC,General
,,4.0,LABOUR CENTRE,SHEEJA PAVITHRAN,Member,CPI(M),General
,,5.0,KUNNATHUPEEDIKA,MINI VINCENT,Member,INDEPENDENT,Woman
,,6.0,PONJANAM NORTH,RAPHY M J,Member,INC,General
,,7.0,NARIKKUZHI,RAJESH K K,Member,INDEPENDENT,SC
